"age","item","definition","uni_lemma","learned","value"
"16",14,"Arı","bee",0,1
"16",16,"At (animal)","horse",0,2
"16",17,"Ayı","bear",0,2
"16",18,"Balık (animal)","fish (animal)",0,4
"16",20,"Böcek","bug",0,0
"16",23,"Eşek","donkey",0,1
"16",29,"İnek","cow",0,0
"16",35,"Kedi","cat",0,0
"16",37,"Köpek","dog",0,0
"16",38,"Kurbağa","frog",0,0
"16",39,"Kuş","bird",0,1
"16",42,"Maymun","monkey",0,0
"16",43,"Ördek","duck",0,0
"16",48,"Tavşan","bunny",0,0
"16",49,"Tavuk","chicken (animal)",0,0
"16",54,"Kuzu","lamb",0,0
"16",55,"Ambulans","ambulance",0,0
"16",56,"Araba","car",0,0
"16",57,"Bisiklet","bicycle",0,0
"16",58,"Gemi/Vapur","boat",0,0
"16",59,"Helikopter","helicopter",0,0
"16",60,"İtfaiye","firetruck",0,0
"16",61,"Kamyon","truck",0,0
"16",63,"Motosiklet","motorcycle",0,0
"16",64,"Otobüs","bus",0,0
"16",65,"Traktör","tractor",0,0
"16",66,"Tren","train",0,0
"16",67,"Uçak","airplane",0,0
"16",69,"Balon","balloon",0,1
"16",70,"Bebek (object)","doll",1,0
"16",72,"Boya (object)","crayon",0,0
"16",76,"Kalem","pen/pencil",0,0
"16",77,"Kitap","book",0,0
"16",78,"Kova","bucket",0,1
"16",83,"Oyuncak","toy (object)",0,0
"16",85,"Robot","robot",0,0
"16",86,"Top","ball",1,1
"16",87,"Tüfek","gun",0,0
"16",89,"Armut","pear",0,0
"16",90,"Ayran","yogurt drink",0,0
"16",91,"Bal","honey",0,1
"16",92,"Balık (food)","fish (food)",0,4
"16",93,"Bisküvi","cracker",0,0
"16",94,"Börek","pastry",0,0
"16",96,"Çay","tea",0,0
"16",97,"Çikolata","chocolate",0,0
"16",99,"Çorba","soup",0,0
"16",101,"Domates","tomato",0,0
"16",102,"Dondurma","ice cream",0,0
"16",103,"Ekmek","bread",0,0
